student_id,age,gender,grade,school,Math,Science,English,History,Art,Study_Hours,Attendance,study_group,Internet,Parent_Edu,Extracurricular,Avg_Score
1042,14,Male,12th,National Grammar,47.0,74.0,92.0,76.0,58.0,1.1,89.0,Group C,Yes,Bachelor,No,69.4
1043,17,Male,10th,National Grammar,47.0,39.0,95.0,33.0,65.0,2.1,76.8,Group A,Yes,High School,No,55.8
1044,15,Male,10th,National Grammar,92.0,55.0,74.0,80.0,74.0,2.4,60.0,Group B,Yes,Bachelor,Yes,75.0
1045,15,Male,11th,Greenwood High,84.0,38.0,99.0,96.0,65.0,6.7,60.2,Group C,Yes,Bachelor,Yes,76.4
1046,14,Male,10th,Greenwood High,51.0,,45.0,74.0,93.0,4.0,91.1,Group B,Yes,High School,Yes,65.75
1047,15,Male,10th,Sunrise Academy,87.0,49.0,44.0,37.0,53.0,4.2,78.8,Group A,No,Bachelor,No,54.0
1048,18,Female,12th,City Public School,72.0,42.0,61.0,45.0,61.0,7.5,76.7,Group B,Yes,High School,Yes,56.2
1049,15,Female,11th,Sunrise Academy,84.0,75.0,97.0,96.0,49.0,5.3,85.6,,Yes,High School,No,80.2
1050,17,Male,12th,City Public School,65.0,53.0,88.0,38.0,75.0,7.2,93.6,,No,Bachelor,No,63.8
1051,17,Male,9th,Greenwood High,78.0,80.0,62.0,89.0,96.0,3.9,83.3,Group B,No,,Yes,81.0
1052,17,Female,9th,National Grammar,67.0,62.0,64.0,44.0,84.0,1.6,89.3,,Yes,High School,No,64.2
1053,17,Male,9th,Sunrise Academy,97.0,49.0,73.0,70.0,82.0,7.5,89.4,Group A,No,,Yes,74.2
1054,18,Male,11th,National Grammar,44.0,71.0,65.0,51.0,87.0,3.9,71.0,,No,,No,63.6
1055,16,Male,10th,Sunrise Academy,47.0,35.0,86.0,53.0,63.0,1.9,67.3,Group B,Yes,High School,Yes,56.8
1056,14,Female,11th,Greenwood High,64.0,58.0,44.0,73.0,80.0,2.8,91.1,Group B,Yes,,Yes,63.8
1057,17,Male,11th,Greenwood High,66.0,61.0,65.0,30.0,94.0,0.9,72.0,Group B,Yes,Bachelor,Yes,63.2
1058,15,Female,10th,Greenwood High,85.0,74.0,59.0,39.0,77.0,4.0,95.7,Group C,Yes,,No,66.8
1059,17,Male,12th,Sunrise Academy,62.0,97.0,45.0,85.0,57.0,6.9,58.1,Group B,Yes,Bachelor,Yes,69.2
1060,15,Female,9th,City Public School,69.0,95.0,45.0,79.0,58.0,7.5,57.6,Group A,No,,No,69.2
1061,15,Female,12th,Sunrise Academy,84.0,70.0,98.0,41.0,77.0,7.5,96.7,,No,,Yes,74.0
1062,17,Male,9th,City Public School,86.0,58.0,89.0,89.0,73.0,1.4,84.2,,No,,Yes,79.0
1063,18,Female,11th,Sunrise Academy,62.0,58.0,57.0,55.0,87.0,3.4,72.1,Group C,No,Master,Yes,63.8
1064,15,Male,9th,Sunrise Academy,88.0,,43.0,70.0,93.0,0.7,89.0,Group C,No,Bachelor,Yes,73.5
1065,15,Female,11th,Greenwood High,86.0,68.0,56.0,65.0,80.0,6.9,85.3,Group A,Yes,,Yes,71.0
1066,17,Male,12th,National Grammar,59.0,91.0,96.0,52.0,88.0,3.2,78.9,Group B,Yes,High School,Yes,77.2
1067,15,Male,11th,National Grammar,57.0,83.0,53.0,72.0,54.0,5.2,59.4,Group C,Yes,Bachelor,No,63.8
1068,15,Female,12th,City Public School,57.0,87.0,53.0,35.0,75.0,5.9,91.5,,Yes,,Yes,61.4
1069,17,Male,10th,National Grammar,41.0,57.0,52.0,98.0,50.0,3.7,94.0,Group C,Yes,High School,Yes,59.6
1070,17,Male,10th,Sunrise Academy,43.0,87.0,46.0,72.0,45.0,2.8,62.7,Group C,Yes,Bachelor,Yes,58.6
1071,14,Female,10th,Sunrise Academy,69.0,96.0,83.0,54.0,51.0,7.7,93.3,Group B,No,High School,No,70.6
1072,18,Male,11th,Greenwood High,72.0,75.0,94.0,47.0,71.0,7.7,94.5,Group C,Yes,Master,Yes,71.8
1073,18,Male,10th,Greenwood High,75.0,91.0,54.0,91.0,65.0,2.7,79.7,Group A,No,,Yes,75.2
1074,15,Female,9th,National Grammar,57.0,94.0,58.0,42.0,72.0,4.1,,,Yes,Master,Yes,64.6
1075,18,Female,12th,City Public School,76.0,88.0,82.0,72.0,60.0,7.8,72.2,Group B,Yes,Bachelor,No,75.6
1076,15,Male,12th,National Grammar,58.0,91.0,86.0,57.0,90.0,0.5,67.7,,Yes,Bachelor,No,76.4
1077,14,Male,9th,National Grammar,86.0,44.0,83.0,47.0,67.0,3.6,87.5,Group A,No,,Yes,65.4
1078,17,Female,11th,National Grammar,67.0,74.0,74.0,88.0,96.0,1.3,93.8,Group A,Yes,High School,Yes,79.8
1079,17,Female,11th,National Grammar,79.0,41.0,56.0,89.0,64.0,4.3,84.4,Group C,Yes,,No,65.8
1080,17,Male,12th,Sunrise Academy,59.0,72.0,74.0,92.0,82.0,0.7,78.0,Group C,Yes,High School,No,75.8
1081,18,Female,10th,City Public School,88.0,95.0,58.0,86.0,98.0,3.6,62.2,Group C,Yes,Bachelor,No,85.0
1082,14,Male,11th,Sunrise Academy,72.0,,59.0,80.0,69.0,2.2,57.4,,Yes,Master,No,70.0
1083,18,Male,11th,City Public School,51.0,85.0,75.0,85.0,72.0,4.5,,Group A,Yes,High School,No,73.6
1084,18,Male,9th,Greenwood High,97.0,81.0,74.0,56.0,49.0,8.0,57.2,Group B,Yes,Bachelor,No,71.4
1085,14,Male,9th,National Grammar,90.0,72.0,71.0,61.0,65.0,6.5,80.6,Group C,Yes,Bachelor,Yes,71.8
1086,14,Male,10th,Sunrise Academy,54.0,70.0,97.0,38.0,62.0,6.8,72.2,,Yes,High School,Yes,64.2
1087,14,Female,11th,City Public School,80.0,75.0,87.0,97.0,91.0,5.3,89.1,Group C,Yes,High School,Yes,86.0
1088,14,Female,11th,Greenwood High,78.0,47.0,83.0,75.0,50.0,0.8,68.8,Group A,Yes,Bachelor,No,66.6
1089,17,Female,9th,Greenwood High,41.0,92.0,79.0,96.0,73.0,2.1,81.7,Group B,Yes,High School,No,76.2
1090,16,Female,11th,National Grammar,68.0,84.0,63.0,55.0,63.0,7.4,79.2,Group A,Yes,Bachelor,No,66.6
1091,16,Male,12th,City Public School,80.0,64.0,56.0,37.0,77.0,3.2,55.2,,Yes,,Yes,62.8
1092,14,Male,9th,Sunrise Academy,49.0,96.0,46.0,35.0,45.0,,58.3,Group C,Yes,Master,Yes,54.2
1093,16,Male,10th,National Grammar,41.0,59.0,82.0,53.0,89.0,5.8,68.1,Group A,Yes,,Yes,64.8
1094,16,Male,9th,Sunrise Academy,90.0,61.0,89.0,77.0,47.0,2.7,94.7,,Yes,Bachelor,Yes,72.8
1095,14,Female,11th,Greenwood High,50.0,85.0,40.0,74.0,86.0,2.5,61.6,Group C,No,Bachelor,No,67.0
1096,16,Male,10th,Sunrise Academy,52.0,,74.0,42.0,65.0,8.0,87.0,Group B,Yes,High School,No,58.25
1097,18,Male,9th,Sunrise Academy,49.0,81.0,71.0,98.0,79.0,6.9,98.8,Group A,Yes,,Yes,75.6
1098,15,Female,12th,National Grammar,53.0,73.0,75.0,54.0,85.0,3.6,90.6,Group C,Yes,Bachelor,Yes,68.0
1099,15,Female,12th,Sunrise Academy,57.0,50.0,52.0,49.0,84.0,,65.9,Group C,No,Master,No,58.4
1100,14,Female,9th,National Grammar,90.0,56.0,45.0,95.0,47.0,5.4,95.9,Group C,Yes,High School,Yes,66.6
1101,17,Female,12th,Greenwood High,93.0,88.0,97.0,74.0,69.0,6.1,59.2,Group C,Yes,High School,No,84.2
1102,14,Male,12th,National Grammar,48.0,55.0,53.0,76.0,89.0,0.7,76.1,Group A,No,High School,Yes,64.2
1103,17,Male,12th,National Grammar,96.0,50.0,76.0,92.0,82.0,1.4,94.9,Group C,No,,Yes,79.2
1104,15,Female,10th,City Public School,78.0,93.0,87.0,84.0,89.0,5.2,83.9,,Yes,Bachelor,Yes,86.2
1105,14,Male,12th,Sunrise Academy,67.0,65.0,54.0,48.0,99.0,7.2,73.6,Group A,Yes,Bachelor,Yes,66.6
1106,18,Male,12th,Greenwood High,42.0,76.0,86.0,64.0,64.0,5.2,68.2,Group C,No,High School,Yes,66.4
1107,16,Male,12th,National Grammar,59.0,66.0,43.0,82.0,96.0,1.5,,Group A,Yes,Master,Yes,69.2
1108,17,Female,10th,Greenwood High,45.0,93.0,79.0,55.0,88.0,1.4,77.9,,Yes,,Yes,72.0
1109,16,Male,9th,City Public School,66.0,68.0,98.0,43.0,89.0,,69.4,,Yes,Bachelor,Yes,72.8
1110,16,Female,11th,Sunrise Academy,92.0,43.0,55.0,74.0,78.0,1.5,98.6,Group A,No,High School,Yes,68.4
1111,14,Male,12th,National Grammar,41.0,45.0,67.0,73.0,65.0,4.4,97.0,Group C,Yes,High School,Yes,58.2
1112,16,Male,9th,Sunrise Academy,68.0,44.0,55.0,94.0,99.0,0.8,94.2,Group C,Yes,Bachelor,Yes,72.0
1113,18,Male,12th,City Public School,77.0,51.0,43.0,80.0,92.0,1.1,74.0,,No,High School,No,68.6
1114,16,Female,10th,City Public School,42.0,82.0,84.0,72.0,67.0,5.5,86.1,Group C,Yes,Bachelor,No,69.4
1115,14,Male,9th,Greenwood High,55.0,86.0,65.0,52.0,50.0,5.7,95.6,,Yes,Bachelor,Yes,61.6
1116,18,Female,10th,National Grammar,69.0,59.0,67.0,85.0,95.0,3.1,93.3,Group C,Yes,High School,Yes,75.0
1117,15,Female,12th,Greenwood High,79.0,55.0,71.0,48.0,97.0,2.1,,,No,Bachelor,Yes,70.0
1118,16,Female,12th,City Public School,41.0,99.0,84.0,84.0,57.0,6.6,60.1,Group B,Yes,High School,Yes,73.0
1119,14,Male,10th,Sunrise Academy,56.0,97.0,41.0,89.0,93.0,2.1,58.4,Group C,Yes,Bachelor,No,75.2
1120,15,Male,11th,Greenwood High,80.0,85.0,70.0,88.0,67.0,4.6,,Group C,Yes,High School,No,78.0
1121,15,Male,10th,Greenwood High,51.0,70.0,42.0,62.0,53.0,7.8,83.9,Group C,Yes,High School,No,55.6
1122,17,Male,12th,Sunrise Academy,74.0,49.0,93.0,48.0,61.0,1.6,93.2,Group A,No,High School,Yes,65.0
1123,18,Female,10th,Greenwood High,82.0,73.0,47.0,57.0,46.0,7.6,68.2,Group C,Yes,Bachelor,Yes,61.0
1124,16,Female,11th,Sunrise Academy,40.0,35.0,63.0,81.0,63.0,1.9,62.5,Group A,Yes,Bachelor,No,56.4
1125,14,Female,10th,National Grammar,94.0,57.0,54.0,78.0,63.0,4.8,72.1,Group A,Yes,High School,Yes,69.2
1126,17,Male,11th,Sunrise Academy,84.0,73.0,82.0,66.0,51.0,3.3,70.9,,No,,Yes,71.2
1127,18,Female,11th,National Grammar,54.0,91.0,70.0,55.0,98.0,7.7,61.0,Group A,Yes,High School,No,73.6
1128,17,Male,10th,Sunrise Academy,65.0,68.0,48.0,69.0,86.0,2.6,85.3,Group A,Yes,Bachelor,No,67.2
1129,18,Female,10th,City Public School,76.0,75.0,78.0,67.0,86.0,,77.9,Group B,Yes,Bachelor,No,76.4
1130,18,Male,9th,City Public School,60.0,47.0,84.0,83.0,64.0,7.9,87.5,Group C,Yes,High School,Yes,67.6
1131,16,Male,12th,National Grammar,88.0,,41.0,51.0,53.0,4.5,,Group A,Yes,,Yes,58.25
1132,18,Female,11th,National Grammar,70.0,86.0,47.0,45.0,61.0,4.3,69.7,Group C,Yes,Bachelor,Yes,61.8
1133,17,Female,9th,City Public School,64.0,,46.0,57.0,71.0,2.4,76.3,Group A,Yes,,No,59.5
1134,18,Female,10th,National Grammar,62.0,97.0,95.0,64.0,91.0,5.8,94.5,,Yes,,Yes,81.8
1135,16,Female,12th,Sunrise Academy,63.0,83.0,83.0,89.0,46.0,0.6,56.8,Group B,No,,No,72.8
1136,16,Male,9th,Sunrise Academy,96.0,81.0,90.0,74.0,80.0,0.9,91.2,Group A,Yes,High School,No,84.2
1137,17,Female,11th,City Public School,77.0,89.0,78.0,75.0,63.0,5.0,71.6,Group C,No,Bachelor,Yes,76.4
1138,15,Female,9th,Greenwood High,67.0,98.0,81.0,84.0,61.0,3.1,93.5,,Yes,Bachelor,Yes,78.2
1139,15,Female,11th,Sunrise Academy,60.0,99.0,96.0,55.0,49.0,7.6,91.1,Group C,No,High School,Yes,71.8
1140,18,Male,10th,National Grammar,93.0,49.0,55.0,54.0,83.0,7.3,70.7,,No,Bachelor,No,66.8
1141,14,Male,12th,Greenwood High,82.0,66.0,74.0,94.0,62.0,5.9,86.2,Group B,No,High School,No,75.6
1142,18,Female,12th,Greenwood High,57.0,52.0,69.0,35.0,97.0,6.6,62.2,,No,Bachelor,No,62.0
1143,17,Male,12th,Sunrise Academy,75.0,77.0,49.0,52.0,98.0,,95.3,Group C,Yes,Bachelor,Yes,70.2
1144,17,Female,10th,Sunrise Academy,74.0,69.0,77.0,93.0,51.0,1.4,73.2,Group C,Yes,Bachelor,Yes,72.8
1145,17,Male,11th,Greenwood High,84.0,92.0,57.0,72.0,61.0,6.2,75.5,Group A,Yes,High School,No,73.2
1146,17,Male,10th,Greenwood High,94.0,67.0,89.0,52.0,83.0,2.1,86.8,,Yes,,Yes,77.0
1147,17,Male,12th,City Public School,48.0,48.0,44.0,59.0,80.0,2.9,91.9,Group C,Yes,Bachelor,No,55.8
1148,16,Male,10th,National Grammar,92.0,68.0,92.0,47.0,84.0,6.6,65.6,Group A,No,Bachelor,No,76.6
1149,15,Female,10th,City Public School,77.0,95.0,68.0,50.0,89.0,4.5,84.8,Group B,Yes,,Yes,75.8
1150,17,Female,10th,Sunrise Academy,97.0,38.0,78.0,86.0,48.0,6.9,,Group C,Yes,Master,Yes,69.4
1151,14,Female,11th,City Public School,69.0,93.0,99.0,52.0,82.0,,71.6,Group A,No,Master,Yes,79.0
1152,14,Male,9th,City Public School,99.0,63.0,73.0,74.0,69.0,5.1,86.1,Group C,Yes,Bachelor,Yes,75.6
1153,14,Female,9th,City Public School,83.0,40.0,82.0,73.0,49.0,1.1,72.4,,Yes,Master,No,65.4
1154,14,Female,10th,City Public School,73.0,83.0,84.0,76.0,74.0,5.3,70.6,Group A,No,High School,No,78.0
1155,16,Female,9th,National Grammar,71.0,74.0,62.0,69.0,56.0,6.2,92.6,,Yes,,No,66.4
1156,14,Male,9th,National Grammar,42.0,99.0,44.0,80.0,48.0,4.9,,Group B,Yes,,No,62.6
1157,17,Male,10th,Greenwood High,42.0,61.0,69.0,71.0,68.0,2.5,85.4,,No,Bachelor,Yes,62.2
1158,18,Male,10th,Sunrise Academy,67.0,40.0,45.0,36.0,73.0,0.7,66.2,Group A,No,,Yes,52.2
1159,14,Female,12th,City Public School,,47.0,95.0,79.0,53.0,1.4,55.7,Group C,No,Master,No,68.5
1160,16,Female,9th,Greenwood High,54.0,98.0,97.0,77.0,48.0,5.2,62.5,Group A,Yes,High School,Yes,74.8
1161,16,Female,11th,Greenwood High,80.0,96.0,85.0,35.0,95.0,7.5,82.3,,No,High School,No,78.2
1162,14,Male,10th,Greenwood High,62.0,53.0,83.0,38.0,68.0,2.0,86.9,,Yes,,No,60.8
1163,18,Male,12th,National Grammar,79.0,77.0,43.0,86.0,58.0,6.0,55.9,Group C,Yes,High School,Yes,68.6
1164,14,Female,11th,City Public School,50.0,54.0,68.0,60.0,49.0,7.0,56.6,Group B,Yes,High School,Yes,56.2
1165,16,Male,9th,City Public School,87.0,78.0,62.0,50.0,62.0,4.4,95.6,Group A,Yes,Bachelor,Yes,67.8
1166,15,Male,12th,Sunrise Academy,71.0,57.0,45.0,69.0,86.0,5.5,58.3,Group C,Yes,High School,No,65.6
1167,17,Male,10th,City Public School,97.0,36.0,71.0,74.0,63.0,6.6,95.2,Group C,Yes,High School,Yes,68.2
1168,16,Male,11th,City Public School,98.0,56.0,81.0,78.0,56.0,,,Group C,Yes,High School,No,73.8
1169,14,Female,10th,Greenwood High,96.0,91.0,57.0,49.0,62.0,2.7,88.3,Group A,Yes,Bachelor,Yes,71.0
1170,17,Male,9th,Sunrise Academy,93.0,41.0,54.0,46.0,61.0,0.5,68.9,Group A,No,Master,No,59.0
1171,14,Male,11th,City Public School,75.0,90.0,79.0,57.0,74.0,7.7,93.6,Group A,Yes,Bachelor,Yes,75.0
1172,14,Male,9th,National Grammar,99.0,50.0,97.0,70.0,68.0,7.4,86.5,Group B,Yes,High School,Yes,76.8
1173,15,Male,9th,City Public School,72.0,85.0,71.0,95.0,55.0,6.2,73.1,Group C,Yes,High School,No,75.6
1174,17,Female,12th,Greenwood High,63.0,46.0,48.0,54.0,79.0,1.1,58.4,,Yes,Bachelor,No,58.0
1175,17,Female,10th,National Grammar,78.0,87.0,76.0,87.0,67.0,3.9,88.0,,Yes,Master,Yes,79.0
1176,15,Male,11th,Greenwood High,73.0,39.0,49.0,70.0,61.0,1.3,82.8,Group C,Yes,High School,No,58.4
1177,16,Male,9th,City Public School,95.0,61.0,59.0,35.0,45.0,0.6,55.1,,Yes,High School,No,59.0
1178,14,Male,9th,National Grammar,67.0,46.0,45.0,67.0,59.0,5.1,55.4,Group B,No,Bachelor,Yes,56.8
1179,18,Male,11th,Sunrise Academy,76.0,51.0,87.0,35.0,76.0,7.7,91.4,Group B,Yes,Master,Yes,65.0
1180,14,Male,9th,Sunrise Academy,46.0,40.0,95.0,74.0,53.0,7.3,66.7,Group A,Yes,High School,No,61.6
1181,14,Male,12th,National Grammar,43.0,39.0,98.0,43.0,59.0,5.7,83.6,Group A,Yes,High School,Yes,56.4
1182,16,Female,12th,National Grammar,76.0,91.0,42.0,95.0,72.0,1.2,75.4,Group A,Yes,High School,Yes,75.2
1183,14,Male,12th,Greenwood High,95.0,62.0,81.0,69.0,68.0,2.6,93.9,Group A,Yes,,No,75.0
1184,15,Female,12th,National Grammar,40.0,93.0,50.0,32.0,79.0,2.9,96.3,Group A,Yes,Bachelor,Yes,58.8
1185,15,Female,9th,Greenwood High,40.0,67.0,82.0,53.0,66.0,6.2,99.9,,Yes,Bachelor,Yes,61.6
1186,17,Male,11th,City Public School,86.0,96.0,56.0,48.0,71.0,6.5,61.9,,No,Bachelor,No,71.4
1187,18,Female,11th,Greenwood High,59.0,,71.0,47.0,63.0,3.4,93.8,Group A,Yes,,Yes,60.0
1188,14,Female,11th,National Grammar,58.0,53.0,43.0,93.0,89.0,,67.0,Group B,Yes,,No,67.2
1189,14,Female,11th,National Grammar,68.0,81.0,43.0,64.0,56.0,0.8,81.6,,No,High School,No,62.4
1190,16,Female,10th,City Public School,49.0,73.0,56.0,91.0,64.0,2.7,77.8,Group B,Yes,High School,Yes,66.6
1191,15,Female,11th,National Grammar,99.0,67.0,80.0,30.0,45.0,3.9,55.8,Group B,No,Bachelor,Yes,64.2
1192,18,Female,10th,National Grammar,57.0,47.0,58.0,54.0,65.0,1.4,97.0,Group C,Yes,High School,Yes,56.2
1193,17,Male,10th,Sunrise Academy,67.0,88.0,44.0,74.0,93.0,3.9,58.5,Group C,Yes,,Yes,73.2
1194,15,Female,12th,Sunrise Academy,74.0,41.0,71.0,78.0,89.0,6.9,86.0,Group A,No,High School,No,70.6
1195,17,Female,10th,City Public School,,48.0,61.0,45.0,45.0,4.9,90.3,Group B,No,High School,No,49.75
1196,16,Female,9th,Greenwood High,86.0,53.0,95.0,48.0,54.0,1.1,90.8,,No,Bachelor,Yes,67.2
1197,16,Male,10th,Sunrise Academy,70.0,,45.0,52.0,91.0,1.9,61.1,Group C,Yes,Bachelor,Yes,64.5
1198,14,Female,12th,Greenwood High,66.0,54.0,74.0,54.0,76.0,4.1,75.1,Group C,No,,Yes,64.8
1199,18,Male,10th,National Grammar,50.0,63.0,61.0,45.0,83.0,3.2,92.3,Group B,No,Bachelor,Yes,60.4
1200,17,Female,9th,Sunrise Academy,88.0,58.0,40.0,83.0,66.0,3.2,68.6,Group C,Yes,High School,Yes,67.0
1201,15,Male,9th,City Public School,88.0,97.0,59.0,30.0,62.0,4.5,76.0,Group C,Yes,High School,Yes,67.2
1202,16,Male,9th,City Public School,77.0,91.0,61.0,71.0,92.0,4.9,67.3,,Yes,Master,No,78.4
1203,14,Female,12th,City Public School,44.0,42.0,87.0,48.0,90.0,6.5,75.9,Group B,No,High School,Yes,62.2
1204,14,Female,12th,Sunrise Academy,47.0,96.0,94.0,63.0,76.0,3.1,95.0,Group C,Yes,Bachelor,Yes,75.2
1205,17,Male,11th,Greenwood High,73.0,63.0,50.0,84.0,71.0,6.5,75.5,Group B,Yes,High School,No,68.2
1206,16,Female,12th,National Grammar,87.0,51.0,52.0,47.0,72.0,3.0,80.0,Group C,Yes,Bachelor,Yes,61.8
1207,18,Male,9th,Greenwood High,91.0,40.0,98.0,63.0,62.0,,73.2,,Yes,Bachelor,Yes,70.8
1208,16,Male,9th,Greenwood High,95.0,92.0,81.0,74.0,83.0,4.7,75.7,Group B,Yes,Master,Yes,85.0
1209,17,Male,12th,National Grammar,51.0,62.0,42.0,35.0,93.0,4.9,55.7,Group C,Yes,Bachelor,Yes,56.6
1210,17,Male,10th,National Grammar,77.0,96.0,48.0,50.0,73.0,7.5,67.8,,No,Bachelor,Yes,68.8
1211,16,Male,12th,Sunrise Academy,40.0,75.0,99.0,99.0,62.0,5.9,74.6,Group C,Yes,High School,No,75.0
1212,17,Female,12th,Sunrise Academy,,75.0,51.0,77.0,88.0,7.4,83.5,Group B,No,Bachelor,Yes,72.75
1213,16,Male,9th,Sunrise Academy,43.0,83.0,62.0,68.0,52.0,7.3,75.3,Group C,Yes,Bachelor,No,61.6
1214,15,Male,11th,Sunrise Academy,88.0,83.0,53.0,60.0,98.0,5.0,70.2,Group B,Yes,,Yes,76.4
1215,16,Female,9th,Sunrise Academy,84.0,37.0,72.0,39.0,75.0,4.5,72.5,Group B,Yes,High School,Yes,61.4
1216,16,Male,11th,National Grammar,89.0,44.0,57.0,59.0,78.0,4.7,65.9,Group C,Yes,Bachelor,Yes,65.4
1217,17,Female,9th,Greenwood High,44.0,69.0,88.0,47.0,51.0,7.8,96.6,,Yes,Bachelor,Yes,59.8
1218,17,Female,12th,Sunrise Academy,69.0,36.0,98.0,89.0,80.0,6.3,78.5,Group A,No,High School,Yes,74.4
1219,14,Female,9th,Sunrise Academy,95.0,58.0,80.0,44.0,62.0,1.3,55.6,,Yes,Master,Yes,67.8
1220,14,Male,9th,Greenwood High,63.0,72.0,48.0,33.0,82.0,6.3,55.9,,Yes,High School,Yes,59.6
