student_id,name,age,gender,grade,school,math_score,science_score,english_score,history_score,art_score,study_hours_per_day,attendance_percent,study_group,internet_access,parent_education,extracurricular
1190,Student_190,16,Female,10th,City Public School,49.0,73.0,56.0,91.0,64.0,2.7,77.8,Group B,Yes,High School,Yes
1191,Student_191,15,Female,11th,National Grammar,99.0,67.0,80.0,30.0,45.0,3.9,55.8,Group B,No,Bachelor,Yes
1192,Student_192,18,Female,10th,National Grammar,57.0,47.0,58.0,54.0,65.0,1.4,97.0,Group C,Yes,High School,Yes
1193,Student_193,17,Male,10th,Sunrise Academy,67.0,88.0,44.0,74.0,93.0,3.9,58.5,Group C,Yes,None,Yes
1194,Student_194,15,Female,12th,Sunrise Academy,74.0,41.0,71.0,78.0,89.0,6.9,86.0,Group A,No,High School,No
1195,Student_195,17,Female,10th,City Public School,,48.0,61.0,45.0,45.0,4.9,90.3,Group B,No,High School,No
1196,Student_196,16,Female,9th,Greenwood High,86.0,53.0,95.0,48.0,54.0,1.1,90.8,None,No,Bachelor,Yes
1197,Student_197,16,Male,10th,Sunrise Academy,70.0,,45.0,52.0,91.0,1.9,61.1,Group C,Yes,Bachelor,Yes
1198,Student_198,14,Female,12th,Greenwood High,66.0,54.0,74.0,54.0,76.0,4.1,75.1,Group C,No,None,Yes
1199,Student_199,18,Male,10th,National Grammar,50.0,63.0,61.0,45.0,83.0,3.2,92.3,Group B,No,Bachelor,Yes
1200,Student_200,17,Female,9th,Sunrise Academy,88.0,58.0,40.0,83.0,66.0,3.2,68.6,Group C,Yes,High School,Yes
1201,Student_201,15,Male,9th,City Public School,88.0,97.0,59.0,30.0,62.0,4.5,76.0,Group C,Yes,High School,Yes
1202,Student_202,16,Male,9th,City Public School,77.0,91.0,61.0,71.0,92.0,4.9,67.3,None,Yes,Master,No
1203,Student_203,14,Female,12th,City Public School,44.0,42.0,87.0,48.0,90.0,6.5,75.9,Group B,No,High School,Yes
1204,Student_204,14,Female,12th,Sunrise Academy,47.0,96.0,94.0,63.0,76.0,3.1,95.0,Group C,Yes,Bachelor,Yes
1205,Student_205,17,Male,11th,Greenwood High,73.0,63.0,50.0,84.0,71.0,6.5,75.5,Group B,Yes,High School,No
1206,Student_206,16,Female,12th,National Grammar,87.0,51.0,52.0,47.0,72.0,3.0,80.0,Group C,Yes,Bachelor,Yes
1207,Student_207,18,Male,9th,Greenwood High,91.0,40.0,98.0,63.0,62.0,,73.2,None,Yes,Bachelor,Yes
1208,Student_208,16,Male,9th,Greenwood High,95.0,92.0,81.0,74.0,83.0,4.7,75.7,Group B,Yes,Master,Yes
1209,Student_209,17,Male,12th,National Grammar,51.0,62.0,42.0,35.0,93.0,4.9,55.7,Group C,Yes,Bachelor,Yes
1210,Student_210,17,Male,10th,National Grammar,77.0,96.0,48.0,50.0,73.0,7.5,67.8,None,No,Bachelor,Yes
1211,Student_211,16,Male,12th,Sunrise Academy,40.0,75.0,99.0,99.0,62.0,5.9,74.6,Group C,Yes,High School,No
1212,Student_212,17,Female,12th,Sunrise Academy,,75.0,51.0,77.0,88.0,7.4,83.5,Group B,No,Bachelor,Yes
1213,Student_213,16,Male,9th,Sunrise Academy,43.0,83.0,62.0,68.0,52.0,7.3,75.3,Group C,Yes,Bachelor,No
1214,Student_214,15,Male,11th,Sunrise Academy,88.0,83.0,53.0,60.0,98.0,5.0,70.2,Group B,Yes,None,Yes
1215,Student_215,16,Female,9th,Sunrise Academy,84.0,37.0,72.0,39.0,75.0,4.5,72.5,Group B,Yes,High School,Yes
